name, media_id
"Willamette Week",1402
"Wilsonville Spokesman",1403
"KATU ABC",1404
"KOIN CBS",1406
"KGW NBC",1407
"KOPB",1409
"KPTV FOX 12",1410
"KUNP-LP Univision ",1411
"KPDX My Network TV ",1412
"KPOJ",1413
"KXL",1414
"KCMD",1415
"KFXX",1416
"KEX",1417
"KBNP ",1418
"Altportland.com",1419
"Blogtown, PDX",1420
"BootsnAll Travel Network",1421
"CommissionerSam.com",1422
"East PDX News",1423
"Future of Real Estate Marketing - Real Estate 2.0",1424
"Heardinmycab",1425
"Portland Metblogs",1426
" Mid-county Memo Blog ",1427
"The Multnomah Villager  ",1428
"Newsdesigner.com",1429
"Michael Durham Photography",1430
"Portland Communique",1431
"Portland Ground",1432
"Portland Kid Stuff",1433
"PortlandPics Photography",1434
" Portland Public Art",1435
"The Portland Alliance",1436
"The Oregonian's Public Editor",1437
"Tech Drool",1438
"Bartlesville Examiner-Enterprise",1439
"Neighbor Newspapers",1441
"Claremore Daily Progress",1442
"Pawhuska Journal Capital",1447
"Sapulpa Herald Online",1448
"KJRH NBC",1451
"KOTV CBS",1452
"Tulsa Beacon",1455
"http://www.clevelandamerican.com",1457
"Oologah Lake Leader Online",1460
"The Bigheart Times",1461
"KBIX/KYAL",1467
"KRMG",1468
"KFAQ",1469
"KAKC",1470
"The Diag - MLive.com",1471
" YpsiNews.com",1472
"Jim Carty's Analysis and Opinion ",1473
"ypsi~dixit",1474
"Arbor Update",1475
"Ann Arbor News",1476
"Overheard in Ann Arbor",1477
"Ann Arbor After Dark",1478
"Ann Arbor News Extra",1479
"Vacuum - Edward Vielmetti in Ann Arbor, Michigan 48104",1480
"Ann Arbor is Overrated",1481
"Carfree Ann Arbor",1482
"The Chelsea Blog",1483
"WAAM",1484
"Chelsea Standard",1486
"WUOM",1487
"WTKA",1489
"MLive.com",1490
"The Michigan Daily",1492
"Dexter Leader",1493
"WLOS ABC",1496
"Smoky Mountain News",1497
"Asheville Citizen-Times",1498
"Times-News",1499
"WISE",1500
"Mountain Rebel",1501
"BlogAsheville",1502
"La Voz Independiente",1503
"Black Mountain News",1504
"WUNF PBS",1505
"WCQS",1506
"Asheville, NC 2008 | Visitor Center | Relocation Information Guide | Local Classifieds",1507
"The Mountaineer",1508
"WHNS FOX",1509
"WWNC",1510
"Mountain Xpress",1511
"STNG",1512
"Central Illinois Proud",1513
"WCBU-FM",1514
"Peoria Journal Star",1515
"WAOE My Network TV",1516
"WTVP PBS",1517
"WHOI-TV ABC",1518
"WMBD",1519
" The Peoria Chronicle",1520
"WZPN-FM",1521
"WTVR-TV CBS",1522
"WXGI",1523
"Style Weekly",1524
"RiverCityRapids",1525
"RVABlogs ",1526
"WRLH FOX",1527
"Virginia Lawyers Weekly",1528
"WCVE Public Radio",1529
"The Community Weekly",1530
"Race to Richmond",1531
"WRNL",1532
"Blog Net News",1534
"Richmond & Hampton Roads Voice Newspapers",1535
"Church Hill People's News",1536
"Fifty Plus",1537
"WRIC-TV ABC",1538
"WRVA",1539
"Chesterfield Observer",1540
"Soul of Virginia",1541
"Henrico Citizen Online",1542
"WWBT NBC/WB",1543
"Save Richmond",1544
"West of the Boulevard News",1545
"Richmond Blog Squad",1546
"Richmond Times-Dispatch",1547
"KOKI FOX",1549
"Living On Tulsa Time",1551
"KQCW The CW",1552
"Downtown Tulsa",1553
"Tulsa Police Blog",1554
"Tulsa Topics",1555
"KOED PBS",1556
"Oklahoma Wine News",1557
"KTUL ABC",1558
"KMYT My Network TV ",1560
